sentiment,country,question,count
positive,Finland,None of the above,45
negative,Finland,,1
negative,Finland,WeÛªll lose touch with one another,0
negative,Finland,The loss of privacy,111
negative,Finland,I have no fears about a more connected future,9
negative,Finland,Other (please specify),19
negative,Finland,WeÛªll be less safe,0
positive,Bangladesh,,470
positive,Bangladesh,How much fun it will be,29
positive,Bangladesh,How it will make us all smarter and better educated,85
positive,Bangladesh,How easy it will make life,151
positive,Bangladesh,How it will bring the world together,64
positive,Bangladesh,Other (please specify),18
positive,Bangladesh,None of the above,23
negative,Bangladesh,,477
negative,Bangladesh,WeÛªll lose touch with one another,0
negative,Bangladesh,The loss of privacy,154
negative,Bangladesh,I have no fears about a more connected future,48
negative,Bangladesh,Other (please specify),15
negative,Bangladesh,WeÛªll be less safe,0
positive,Brunei Darussalam,,0
positive,Brunei Darussalam,How much fun it will be,0
positive,Brunei Darussalam,How it will make us all smarter and better educated,2
positive,Brunei Darussalam,How easy it will make life,5
positive,Brunei Darussalam,How it will bring the world together,3
positive,Brunei Darussalam,Other (please specify),0
positive,Brunei Darussalam,None of the above,2
negative,Brunei Darussalam,,1
negative,Brunei Darussalam,WeÛªll lose touch with one another,0
negative,Brunei Darussalam,The loss of privacy,5
negative,Brunei Darussalam,I have no fears about a more connected future,0
negative,Brunei Darussalam,Other (please specify),1
negative,Brunei Darussalam,WeÛªll be less safe,0
positive,Jersey,,1
positive,Jersey,How much fun it will be,2
positive,Jersey,How it will make us all smarter and better educated,0
positive,Jersey,How easy it will make life,6
positive,Jersey,How it will bring the world together,2
positive,Jersey,Other (please specify),0
positive,Jersey,None of the above,3
negative,Jersey,,0
negative,Jersey,WeÛªll lose touch with one another,0
negative,Jersey,The loss of privacy,7
negative,Jersey,I have no fears about a more connected future,1
negative,Jersey,Other (please specify),0
negative,Jersey,WeÛªll be less safe,0
positive,Jordan,,2
positive,Jordan,How much fun it will be,4
positive,Jordan,How it will make us all smarter and better educated,8
positive,Jordan,How easy it will make life,6
positive,Jordan,How it will bring the world together,4
positive,Jordan,Other (please specify),3
positive,Jordan,None of the above,3
negative,Jordan,,2
negative,Jordan,WeÛªll lose touch with one another,0
negative,Jordan,The loss of privacy,12
negative,Jordan,I have no fears about a more connected future,3
negative,Jordan,Other (please specify),3
negative,Jordan,WeÛªll be less safe,0
positive,Aruba,,0
positive,Aruba,How much fun it will be,0
positive,Aruba,How it will make us all smarter and better educated,1
positive,Aruba,How easy it will make life,1
positive,Aruba,How it will bring the world together,1
positive,Aruba,Other (please specify),0
positive,Aruba,None of the above,0
negative,Aruba,,0
negative,Aruba,WeÛªll lose touch with one another,0
negative,Aruba,The loss of privacy,0
negative,Aruba,I have no fears about a more connected future,0
negative,Aruba,Other (please specify),0
negative,Aruba,WeÛªll be less safe,0
positive,Christmas Island,,0
positive,Christmas Island,How much fun it will be,0
positive,Christmas Island,How it will make us all smarter and better educated,0
positive,Christmas Island,How easy it will make life,0
positive,Christmas Island,How it will bring the world together,1
positive,Christmas Island,Other (please specify),0
positive,Christmas Island,None of the above,0
negative,Christmas Island,,0
negative,Christmas Island,WeÛªll lose touch with one another,0
negative,Christmas Island,The loss of privacy,0
negative,Christmas Island,I have no fears about a more connected future,0
negative,Christmas Island,Other (please specify),0
negative,Christmas Island,WeÛªll be less safe,0
positive,Haiti,,10
positive,Haiti,How much fun it will be,3
positive,Haiti,How it will make us all smarter and better educated,11
positive,Haiti,How easy it will make life,6
positive,Haiti,How it will bring the world together,1
positive,Haiti,Other (please specify),0
positive,Haiti,None of the above,3
negative,Haiti,,10
negative,Haiti,WeÛªll lose touch with one another,0
negative,Haiti,The loss of privacy,9
negative,Haiti,I have no fears about a more connected future,5
negative,Haiti,Other (please specify),1
negative,Haiti,WeÛªll be less safe,0
positive,Portugal,,16
positive,Portugal,How much fun it will be,20
positive,Portugal,How it will make us all smarter and better educated,52
positive,Portugal,How easy it will make life,71
positive,Portugal,How it will bring the world together,51
positive,Portugal,Other (please specify),18
positive,Portugal,None of the above,89
negative,Portugal,,14
negative,Portugal,WeÛªll lose touch with one another,0
negative,Portugal,The loss of privacy,154
negative,Portugal,I have no fears about a more connected future,12
negative,Portugal,Other (please specify),19
negative,Portugal,WeÛªll be less safe,0
positive,Guatemala,,26
positive,Guatemala,How much fun it will be,56
positive,Guatemala,How it will make us all smarter and better educated,71
positive,Guatemala,How easy it will make life,139
positive,Guatemala,How it will bring the world together,36
positive,Guatemala,Other (please specify),22
positive,Guatemala,None of the above,88
negative,Guatemala,,32
negative,Guatemala,WeÛªll lose touch with one another,0
negative,Guatemala,The loss of privacy,208
negative,Guatemala,I have no fears about a more connected future,40
negative,Guatemala,Other (please specify),14
negative,Guatemala,WeÛªll be less safe,0
positive,Spain,,218
positive,Spain,How much fun it will be,518
positive,Spain,How it will make us all smarter and better educated,589
positive,Spain,How easy it will make life,1526
positive,Spain,How it will bring the world together,723
positive,Spain,Other (please specify),586
positive,Spain,None of the above,1691
negative,Spain,,259
negative,Spain,WeÛªll lose touch with one another,0
negative,Spain,The loss of privacy,2933
negative,Spain,I have no fears about a more connected future,454
negative,Spain,Other (please specify),447
negative,Spain,WeÛªll be less safe,0
positive,Canada,,134
positive,Canada,How much fun it will be,328
positive,Canada,How it will make us all smarter and better educated,700
positive,Canada,How easy it will make life,745
positive,Canada,How it will bring the world together,693
positive,Canada,Other (please specify),490
positive,Canada,None of the above,1350
negative,Canada,,144
negative,Canada,WeÛªll lose touch with one another,0
negative,Canada,The loss of privacy,2083
negative,Canada,I have no fears about a more connected future,286
negative,Canada,Other (please specify),553
negative,Canada,WeÛªll be less safe,0
positive,Norway,,4
positive,Norway,How much fun it will be,28
positive,Norway,How it will make us all smarter and better educated,44
positive,Norway,How easy it will make life,53
positive,Norway,How it will bring the world together,43
positive,Norway,Other (please specify),19
positive,Norway,None of the above,54
negative,Norway,,4
negative,Norway,WeÛªll lose touch with one another,0
negative,Norway,The loss of privacy,127
negative,Norway,I have no fears about a more connected future,11
negative,Norway,Other (please specify),29
negative,Norway,WeÛªll be less safe,0
positive,Honduras,,18
positive,Honduras,How much fun it will be,32
positive,Honduras,How it will make us all smarter and better educated,42
positive,Honduras,How easy it will make life,52
positive,Honduras,How it will bring the world together,18
positive,Honduras,Other (please specify),12
positive,Honduras,None of the above,29
negative,Honduras,,18
negative,Honduras,WeÛªll lose touch with one another,0
negative,Honduras,The loss of privacy,86
negative,Honduras,I have no fears about a more connected future,16
negative,Honduras,Other (please specify),9
negative,Honduras,WeÛªll be less safe,0
positive,Jamaica,,1
positive,Jamaica,How much fun it will be,1
positive,Jamaica,How it will make us all smarter and better educated,5
positive,Jamaica,How easy it will make life,7
positive,Jamaica,How it will bring the world together,6
positive,Jamaica,Other (please specify),2
positive,Jamaica,None of the above,6
negative,Jamaica,,1
negative,Jamaica,WeÛªll lose touch with one another,0
negative,Jamaica,The loss of privacy,16
negative,Jamaica,I have no fears about a more connected future,3
negative,Jamaica,Other (please specify),0
negative,Jamaica,WeÛªll be less safe,0
positive,Romania,,48
positive,Romania,How much fun it will be,24
positive,Romania,How it will make us all smarter and better educated,74
positive,Romania,How easy it will make life,105
positive,Romania,How it will bring the world together,60
positive,Romania,Other (please specify),12
positive,Romania,None of the above,85
negative,Romania,,47
negative,Romania,WeÛªll lose touch with one another,0
negative,Romania,The loss of privacy,163
negative,Romania,I have no fears about a more connected future,40
negative,Romania,Other (please specify),15
negative,Romania,WeÛªll be less safe,0
positive,Iraq,,25
positive,Iraq,How much fun it will be,4
positive,Iraq,How it will make us all smarter and better educated,6
positive,Iraq,How easy it will make life,5
positive,Iraq,How it will bring the world together,1
positive,Iraq,Other (please specify),2
positive,Iraq,None of the above,5
negative,Iraq,,25
negative,Iraq,WeÛªll lose touch with one another,0
negative,Iraq,The loss of privacy,13
negative,Iraq,I have no fears about a more connected future,2
negative,Iraq,Other (please specify),2
negative,Iraq,WeÛªll be less safe,0
positive,Morocco,,289
positive,Morocco,How much fun it will be,42
positive,Morocco,How it will make us all smarter and better educated,129
positive,Morocco,How easy it will make life,160
positive,Morocco,How it will bring the world together,73
positive,Morocco,Other (please specify),39
positive,Morocco,None of the above,77
negative,Morocco,,279
negative,Morocco,WeÛªll lose touch with one another,0
negative,Morocco,The loss of privacy,200
negative,Morocco,I have no fears about a more connected future,56
negative,Morocco,Other (please specify),36
negative,Morocco,WeÛªll be less safe,0
positive,Uganda,,17
positive,Uganda,How much fun it will be,3
positive,Uganda,How it will make us all smarter and better educated,14
positive,Uganda,How easy it will make life,17
positive,Uganda,How it will bring the world together,14
positive,Uganda,Other (please specify),4
positive,Uganda,None of the above,4
negative,Uganda,,18
negative,Uganda,WeÛªll lose touch with one another,0
negative,Uganda,The loss of privacy,27
negative,Uganda,I have no fears about a more connected future,6
negative,Uganda,Other (please specify),3
negative,Uganda,WeÛªll be less safe,0
positive,Namibia,,2
positive,Namibia,How much fun it will be,0
positive,Namibia,How it will make us all smarter and better educated,2
positive,Namibia,How easy it will make life,4
positive,Namibia,How it will bring the world together,4
positive,Namibia,Other (please specify),2
positive,Namibia,None of the above,10
negative,Namibia,,3
negative,Namibia,WeÛªll lose touch with one another,0
negative,Namibia,The loss of privacy,9
negative,Namibia,I have no fears about a more connected future,0
negative,Namibia,Other (please specify),1
negative,Namibia,WeÛªll be less safe,0
positive,Gambia,,1
positive,Gambia,How much fun it will be,0
positive,Gambia,How it will make us all smarter and better educated,0
positive,Gambia,How easy it will make life,1
positive,Gambia,How it will bring the world together,1
positive,Gambia,Other (please specify),0
positive,Gambia,None of the above,0
negative,Gambia,,1
negative,Gambia,WeÛªll lose touch with one another,0
negative,Gambia,The loss of privacy,1
negative,Gambia,I have no fears about a more connected future,0
negative,Gambia,Other (please specify),0
negative,Gambia,WeÛªll be less safe,0
positive,Mauritius,,2
positive,Mauritius,How much fun it will be,6
positive,Mauritius,How it will make us all smarter and better educated,16
positive,Mauritius,How easy it will make life,16
positive,Mauritius,How it will bring the world together,15
positive,Mauritius,Other (please specify),2
positive,Mauritius,None of the above,5
negative,Mauritius,,0
negative,Mauritius,WeÛªll lose touch with one another,0
negative,Mauritius,The loss of privacy,37
negative,Mauritius,I have no fears about a more connected future,4
negative,Mauritius,Other (please specify),3
negative,Mauritius,WeÛªll be less safe,0
positive,Sint Maarten (Dutch part),,0
positive,Sint Maarten (Dutch part),How much fun it will be,0
positive,Sint Maarten (Dutch part),How it will make us all smarter and better educated,1
positive,Sint Maarten (Dutch part),How easy it will make life,0
positive,Sint Maarten (Dutch part),How it will bring the world together,0
positive,Sint Maarten (Dutch part),Other (please specify),0
positive,Sint Maarten (Dutch part),None of the above,0
negative,Sint Maarten (Dutch part),,0
negative,Sint Maarten (Dutch part),WeÛªll lose touch with one another,0
negative,Sint Maarten (Dutch part),The loss of privacy,1
negative,Sint Maarten (Dutch part),I have no fears about a more connected future,0
negative,Sint Maarten (Dutch part),Other (please specify),0
negative,Sint Maarten (Dutch part),WeÛªll be less safe,0
positive,Ukraine,,2
positive,Ukraine,How much fun it will be,5
positive,Ukraine,How it will make us all smarter and better educated,23
positive,Ukraine,How easy it will make life,19
positive,Ukraine,How it will bring the world together,11
positive,Ukraine,Other (please specify),4
positive,Ukraine,None of the above,10
negative,Ukraine,,2
negative,Ukraine,WeÛªll lose touch with one another,0
negative,Ukraine,The loss of privacy,36
negative,Ukraine,I have no fears about a more connected future,9
negative,Ukraine,Other (please specify),5
negative,Ukraine,WeÛªll be less safe,0
positive,Nicaragua,,7
positive,Nicaragua,How much fun it will be,19
positive,Nicaragua,How it will make us all smarter and better educated,35
positive,Nicaragua,How easy it will make life,34
positive,Nicaragua,How it will bring the world together,29
positive,Nicaragua,Other (please specify),9
positive,Nicaragua,None of the above,36
negative,Nicaragua,,8
negative,Nicaragua,WeÛªll lose touch with one another,0
negative,Nicaragua,The loss of privacy,90
negative,Nicaragua,I have no fears about a more connected future,20
negative,Nicaragua,Other (please specify),7
negative,Nicaragua,WeÛªll be less safe,0
positive,Mauritania,,3
positive,Mauritania,How much fun it will be,0
positive,Mauritania,How it will make us all smarter and better educated,2
positive,Mauritania,How easy it will make life,2
positive,Mauritania,How it will bring the world together,0
positive,Mauritania,Other (please specify),0
positive,Mauritania,None of the above,1
negative,Mauritania,,2
negative,Mauritania,WeÛªll lose touch with one another,0
negative,Mauritania,The loss of privacy,1
negative,Mauritania,I have no fears about a more connected future,1
negative,Mauritania,Other (please specify),0
negative,Mauritania,WeÛªll be less safe,0
positive,Iceland,,1
positive,Iceland,How much fun it will be,1
positive,Iceland,How it will make us all smarter and better educated,5
positive,Iceland,How easy it will make life,7
positive,Iceland,How it will bring the world together,8
positive,Iceland,Other (please specify),5
positive,Iceland,None of the above,3
negative,Iceland,,1
negative,Iceland,WeÛªll lose touch with one another,0
negative,Iceland,The loss of privacy,17
negative,Iceland,I have no fears about a more connected future,4
negative,Iceland,Other (please specify),3
negative,Iceland,WeÛªll be less safe,0
positive,Mexico,,365
positive,Mexico,How much fun it will be,1104
positive,Mexico,How it will make us all smarter and better educated,1023
positive,Mexico,How easy it will make life,1638
positive,Mexico,How it will bring the world together,837
positive,Mexico,Other (please specify),569
positive,Mexico,None of the above,1360
negative,Mexico,,432
negative,Mexico,WeÛªll lose touch with one another,0
negative,Mexico,The loss of privacy,3181
negative,Mexico,I have no fears about a more connected future,659
negative,Mexico,Other (please specify),441
negative,Mexico,WeÛªll be less safe,0
positive,Turks and Caicos Islands,,0
positive,Turks and Caicos Islands,How much fun it will be,0
positive,Turks and Caicos Islands,How it will make us all smarter and better educated,1
positive,Turks and Caicos Islands,How easy it will make life,0
positive,Turks and Caicos Islands,How it will bring the world together,0
positive,Turks and Caicos Islands,Other (please specify),0
positive,Turks and Caicos Islands,None of the above,0
negative,Turks and Caicos Islands,,0
negative,Turks and Caicos Islands,WeÛªll lose touch with one another,0
negative,Turks and Caicos Islands,The loss of privacy,1
